,구군,읍면동,년월,총 유동인구
371,연제구,연산9동,2019-09,271327
372,수영구,남천1동,2019-09,169411
373,수영구,남천2동,2019-09,91038
374,수영구,수영동,2019-09,111430
375,수영구,망미1동,2019-09,179573
376,수영구,망미2동,2019-09,76605
377,수영구,광안1동,2019-09,153199
378,수영구,광안2동,2019-09,124417
379,수영구,광안3동,2019-09,98212
380,수영구,광안4동,2019-09,76458
381,수영구,민락동,2019-09,160616
382,사상구,삼락동,2019-09,72641
383,사상구,모라1동,2019-09,210932
384,사상구,모라3동,2019-09,69711
385,사상구,덕포1동,2019-09,96134
386,사상구,덕포2동,2019-09,103255
387,사상구,괘법동,2019-09,233983
388,사상구,감전동,2019-09,167380
389,사상구,주례1동,2019-09,109942
390,사상구,주례2동,2019-09,201818
391,사상구,주례3동,2019-09,127992
392,사상구,학장동,2019-09,201561
393,사상구,엄궁동,2019-09,187403
394,기장군,기장읍,2019-09,412460
395,기장군,장안읍,2019-09,103921
396,기장군,일광면,2019-09,90967
397,기장군,철마면,2019-09,56046
398,중구,중앙동,2019-10,116618
399,중구,동광동,2019-10,29135
400,중구,대청동,2019-10,51510
401,중구,보수동,2019-10,57345
402,중구,부평동,2019-10,60299
403,중구,광복동,2019-10,47854
404,중구,남포동,2019-10,85811
405,중구,영주1동,2019-10,39434
406,중구,영주2동,2019-10,42929
407,서구,동대신1동,2019-10,41526
408,서구,동대신2동,2019-10,43544
409,서구,동대신3동,2019-10,67600
410,서구,서대신1동,2019-10,89032
411,서구,서대신3동,2019-10,55329
412,서구,서대신4동,2019-10,52020
413,서구,부민동,2019-10,56778
414,서구,아미동,2019-10,70587
415,서구,초장동,2019-10,20187
416,서구,충무동,2019-10,91858
417,서구,남부민1동,2019-10,44949
418,서구,남부민2동,2019-10,50919
419,서구,암남동,2019-10,149122
420,동구,초량1동,2019-10,47902
421,동구,초량2동,2019-10,61202
422,동구,초량3동,2019-10,116547
423,동구,초량6동,2019-10,40874
424,동구,수정1동,2019-10,34237
425,동구,수정2동,2019-10,71001
426,동구,수정4동,2019-10,21694
427,동구,수정5동,2019-10,30951
428,동구,범일1동,2019-10,48193
429,동구,범일2동,2019-10,151542
430,동구,범일5동,2019-10,30465
431,영도구,남항동,2019-10,99358
432,영도구,영선1동,2019-10,40788
433,영도구,영선2동,2019-10,76372
434,영도구,신선동,2019-10,41176
435,영도구,봉래1동,2019-10,64456
436,영도구,봉래2동,2019-10,45014
437,영도구,청학1동,2019-10,39824
438,영도구,청학2동,2019-10,117136
439,영도구,동삼1동,2019-10,206045
440,영도구,동삼2동,2019-10,58143
441,영도구,동삼3동,2019-10,80285
442,부산진구,부전1동,2019-10,238023
443,부산진구,부전2동,2019-10,303050
444,부산진구,연지동,2019-10,136672
445,부산진구,초읍동,2019-10,154934
446,부산진구,양정1동,2019-10,182876
447,부산진구,양정2동,2019-10,112095
448,부산진구,전포1동,2019-10,156357
449,부산진구,전포2동,2019-10,118237
450,부산진구,부암1동,2019-10,173734
451,부산진구,부암3동,2019-10,123612
452,부산진구,당감1동,2019-10,176148
453,부산진구,당감2동,2019-10,65652
454,부산진구,당감4동,2019-10,116304
455,부산진구,가야1동,2019-10,179085
456,부산진구,가야2동,2019-10,113050
457,부산진구,개금1동,2019-10,119450
458,부산진구,개금2동,2019-10,78875
459,부산진구,개금3동,2019-10,159835
460,부산진구,범천1동,2019-10,117397
461,부산진구,범천2동,2019-10,81266
462,동래구,수민동,2019-10,244967
463,동래구,복산동,2019-10,67569
464,동래구,명륜동,2019-10,177680
465,동래구,온천1동,2019-10,192543
466,동래구,온천2동,2019-10,167341
467,동래구,온천3동,2019-10,202971
468,동래구,사직1동,2019-10,70680
469,동래구,사직2동,2019-10,182909
470,동래구,사직3동,2019-10,112719
471,동래구,안락1동,2019-10,137823
472,동래구,안락2동,2019-10,183302
473,동래구,명장1동,2019-10,86064
474,동래구,명장2동,2019-10,106100
475,남구,대연1동,2019-10,113109
476,남구,대연3동,2019-10,334234
477,남구,대연4동,2019-10,72221
478,남구,대연5동,2019-10,98620
479,남구,대연6동,2019-10,70553
480,남구,용호1동,2019-10,307409
481,남구,용호2동,2019-10,125724
482,남구,용호3동,2019-10,73199
483,남구,용호4동,2019-10,64080
484,남구,용당동,2019-10,91147
485,남구,감만1동,2019-10,115110
486,남구,감만2동,2019-10,50787
487,남구,우암동,2019-10,106451
488,남구,문현1동,2019-10,75592
489,남구,문현2동,2019-10,87336
490,남구,문현3동,2019-10,85880
491,남구,문현4동,2019-10,72632
492,북구,구포1동,2019-10,125664
493,북구,구포2동,2019-10,185954
494,북구,구포3동,2019-10,136603
495,북구,금곡동,2019-10,250489
496,북구,화명1동,2019-10,218371
497,북구,화명2동,2019-10,94316
498,북구,화명3동,2019-10,255488
499,북구,덕천1동,2019-10,114938
500,북구,덕천2동,2019-10,178001
501,북구,덕천3동,2019-10,62656
502,북구,만덕1동,2019-10,58036
503,북구,만덕2동,2019-10,126940
504,북구,만덕3동,2019-10,148570
505,해운대구,우1동,2019-10,289823
506,해운대구,우2동,2019-10,345578
507,해운대구,중1동,2019-10,228341
508,해운대구,중2동,2019-10,84993
509,해운대구,좌1동,2019-10,177731
510,해운대구,좌2동,2019-10,190078
511,해운대구,좌3동,2019-10,127537
512,해운대구,좌4동,2019-10,163697
513,해운대구,송정동,2019-10,81962
514,해운대구,반여1동,2019-10,231343
515,해운대구,반여2동,2019-10,70545
516,해운대구,반여3동,2019-10,61808
517,해운대구,반여4동,2019-10,84981
518,해운대구,반송1동,2019-10,141701
519,해운대구,반송2동,2019-10,169670
520,해운대구,재송1동,2019-10,283726
521,해운대구,재송2동,2019-10,185805
522,사하구,괴정1동,2019-10,155771
523,사하구,괴정2동,2019-10,89927
524,사하구,괴정3동,2019-10,82146
525,사하구,괴정4동,2019-10,87775
526,사하구,당리동,2019-10,187251
527,사하구,하단1동,2019-10,191147
528,사하구,하단2동,2019-10,229856
529,사하구,신평1동,2019-10,96935
530,사하구,신평2동,2019-10,139047
531,사하구,장림1동,2019-10,106762
532,사하구,장림2동,2019-10,200995
533,사하구,다대1동,2019-10,291727
534,사하구,다대2동,2019-10,187555
535,사하구,구평동,2019-10,54244
536,사하구,감천1동,2019-10,146883
537,사하구,감천2동,2019-10,47414
538,금정구,서1동,2019-10,49527
539,금정구,서2동,2019-10,71029
540,금정구,서3동,2019-10,82157
541,금정구,부곡1동,2019-10,57279
542,금정구,부곡2동,2019-10,114196
543,금정구,부곡3동,2019-10,118809
544,금정구,부곡4동,2019-10,59456
545,금정구,장전1동,2019-10,142618
546,금정구,장전2동,2019-10,275807
547,금정구,선두구동,2019-10,48015
548,금정구,청룡노포동,2019-10,97978
