,구군,읍면동,예측 유동인구,총 인구,예측 구매력,구의 동별 평균 인구,구의 동별 평균 구매력,영업이익/매출액(%),경쟁업체 수,예측 유동인구 평균,경쟁업체 평균,영업이익/매출액(%) 평균
31,동구,범일2동,13.2951,9.012,4.6212,8.325,3.8352,5.4362722704431246,27.5,10.271372727272727,4.090909090909091,8.305766926095247
32,동구,범일5동,7.4105,4.632,2.3752,6.974,3.5762,1.7944578531506907,0.7,10.271372727272727,4.090909090909091,8.305766926095247
33,영도구,남항동,17.1312,10.806,5.2456,6.974,3.5762,6.960916729926815,3.5,15.681045454545455,1.9272727272727275,8.077680138968775
34,영도구,영선1동,17.4168,4.205,2.0412,6.974,3.5762,13.953031987963632,2.7,15.681045454545455,1.9272727272727275,8.077680138968775
35,영도구,영선2동,11.4309,9.154,4.4438,6.974,3.5762,10.667908070760033,1.2,15.681045454545455,1.9272727272727275,8.077680138968775
36,영도구,신선동,26.8371,9.583,4.652,6.974,3.5762,6.316735347181758,0.5,15.681045454545455,1.9272727272727275,8.077680138968775
37,영도구,봉래1동,12.9533,7.439,3.6112,6.974,3.5762,6.335125039857878,1.9,15.681045454545455,1.9272727272727275,8.077680138968775
38,영도구,봉래2동,16.5385,5.486,2.6632,6.974,3.5762,5.1265833319462715,0.7,15.681045454545455,1.9272727272727275,8.077680138968775
39,영도구,청학1동,9.8616,7.083,3.4384,6.974,3.5762,7.936570086139389,2.2,15.681045454545455,1.9272727272727275,8.077680138968775
40,영도구,청학2동,13.8567,18.986,9.2166,6.974,3.5762,6.5505849220103975,2.4,15.681045454545455,1.9272727272727275,8.077680138968775
41,영도구,동삼1동,10.24,29.526,14.333,6.974,3.5762,3.8095761640371615,4.0,15.681045454545455,1.9272727272727275,8.077680138968775
42,영도구,동삼2동,16.5808,3.597,1.7462,6.974,3.5762,15.196122430661518,1.3,15.681045454545455,1.9272727272727275,8.077680138968775
43,영도구,동삼3동,19.6446,10.846,5.265,6.974,3.5762,6.001327418171656,0.8,15.681045454545455,1.9272727272727275,8.077680138968775
44,부산진구,부전1동,3.707,15.179,8.9134,6.974,3.5762,6.041939784830184,20.9,8.963075,4.8549999999999995,6.2350157730022735
45,부산진구,부전2동,3.6666,10.271,6.0314,6.974,3.5762,5.729128748088903,12.2,8.963075,4.8549999999999995,6.2350157730022735
46,부산진구,연지동,8.2143,20.808,12.2188,6.974,3.5762,5.486581988348774,1.7,8.963075,4.8549999999999995,6.2350157730022735
47,부산진구,초읍동,8.7729,20.576,12.0826,6.974,3.5762,7.88156234410306,4.3,8.963075,4.8549999999999995,6.2350157730022735
48,부산진구,양정1동,8.9311,20.648,12.125,10.61,5.1506,5.977593592220526,2.6,8.963075,4.8549999999999995,6.2350157730022735
49,부산진구,양정2동,12.5885,13.197,7.7496,10.61,5.1506,6.190923766435142,5.0,8.963075,4.8549999999999995,6.2350157730022735
50,부산진구,전포1동,11.8234,18.231,10.7056,10.61,5.1506,5.454733844754607,7.0,8.963075,4.8549999999999995,6.2350157730022735
51,부산진구,전포2동,10.5712,21.462,12.603,10.61,5.1506,6.089577950043068,3.7,8.963075,4.8549999999999995,6.2350157730022735
52,부산진구,부암1동,14.3922,23.01,13.512,10.61,5.1506,5.88941609373487,3.1,8.963075,4.8549999999999995,6.2350157730022735
53,부산진구,부암3동,7.1724,18.647,10.95,10.61,5.1506,7.143944294357142,2.5,8.963075,4.8549999999999995,6.2350157730022735
54,부산진구,당감1동,4.3985,24.802,14.5642,10.61,5.1506,6.648195142161686,2.5,8.963075,4.8549999999999995,6.2350157730022735
55,부산진구,당감2동,6.5958,10.349,6.0772,10.61,5.1506,6.007492349744629,1.4,8.963075,4.8549999999999995,6.2350157730022735
56,부산진구,당감4동,13.0881,12.298,7.2216,10.61,5.1506,3.578608430167085,2.1,8.963075,4.8549999999999995,6.2350157730022735
57,부산진구,가야1동,9.3138,20.499,12.0374,10.61,5.1506,6.108544736638365,4.6,8.963075,4.8549999999999995,6.2350157730022735
58,부산진구,가야2동,7.1844,17.071,10.0244,10.61,5.1506,7.011000050055148,2.4,8.963075,4.8549999999999995,6.2350157730022735
59,부산진구,개금1동,8.602,17.128,10.058,10.61,5.1506,4.0454267058371665,3.6,8.963075,4.8549999999999995,6.2350157730022735
60,부산진구,개금2동,12.426,11.825,6.9438,10.61,5.1506,10.407569868406592,1.5,8.963075,4.8549999999999995,6.2350157730022735
61,부산진구,개금3동,10.414,30.375,17.8368,10.61,5.1506,6.482289021971562,2.2,8.963075,4.8549999999999995,6.2350157730022735
62,부산진구,범천1동,6.9915,11.424,6.7084,10.61,5.1506,7.005722052657447,11.3,8.963075,4.8549999999999995,6.2350157730022735
63,부산진구,범천2동,10.4078,20.08,11.7914,10.61,5.1506,5.520064695489503,2.5,8.963075,4.8549999999999995,6.2350157730022735
64,동래구,수민동,12.103,32.743,22.5998,17.894,10.5078,4.244192366564718,4.3,14.994123076923076,2.9846153846153842,6.908772190044673
65,동래구,복산동,12.3883,10.805,7.4578,17.894,10.5078,14.027049406569144,1.6,14.994123076923076,2.9846153846153842,6.908772190044673
66,동래구,명륜동,12.7791,24.991,17.2492,17.894,10.5078,7.380901043528087,2.8,14.994123076923076,2.9846153846153842,6.908772190044673
67,동래구,온천1동,13.8485,18.982,13.1018,17.894,10.5078,5.1239986446139385,5.4,14.994123076923076,2.9846153846153842,6.908772190044673
68,동래구,온천2동,11.7904,15.639,10.7944,17.894,10.5078,7.7277711708650605,2.9,14.994123076923076,2.9846153846153842,6.908772190044673
69,동래구,온천3동,7.6149,38.317,26.447,17.894,10.5078,7.7959958912339875,4.7,14.994123076923076,2.9846153846153842,6.908772190044673
70,동래구,사직1동,15.2313,10.74,7.413,17.894,10.5078,6.178462276023251,2.6,14.994123076923076,2.9846153846153842,6.908772190044673
71,동래구,사직2동,12.5796,29.17,20.1336,17.894,10.5078,6.3125481139337944,2.4,14.994123076923076,2.9846153846153842,6.908772190044673
72,동래구,사직3동,27.0333,15.393,10.6246,17.894,10.5078,6.772131650159298,2.2,14.994123076923076,2.9846153846153842,6.908772190044673
73,동래구,안락1동,24.3775,15.2,10.4914,17.894,10.5078,5.858952183148253,3.1,14.994123076923076,2.9846153846153842,6.908772190044673
74,동래구,안락2동,17.0299,29.036,20.0412,17.894,10.5078,6.101954684265308,3.0,14.994123076923076,2.9846153846153842,6.908772190044673
75,동래구,명장1동,15.0736,14.749,10.18,17.894,10.5078,7.141912270490503,1.8,14.994123076923076,2.9846153846153842,6.908772190044673
76,동래구,명장2동,13.0742,15.482,10.686,17.894,10.5078,5.148168769185422,2.0,14.994123076923076,2.9846153846153842,6.908772190044673
77,남구,대연1동,15.3614,16.566,11.5268,17.894,10.5078,3.9468220545127375,5.8,10.136235294117647,2.7294117647058824,5.757448120227499
78,남구,대연3동,-2.5827,33.316,23.1816,17.894,10.5078,2.5742740212031903,8.9,10.136235294117647,2.7294117647058824,5.757448120227499
79,남구,대연4동,8.2082,12.915,8.9864,17.894,10.5078,7.1712340505086685,1.7,10.136235294117647,2.7294117647058824,5.757448120227499
80,남구,대연5동,9.9752,17.175,11.9506,20.865,14.4016,5.928600985592296,4.6,10.136235294117647,2.7294117647058824,5.757448120227499
81,남구,대연6동,19.0022,16.442,11.4404,20.865,14.4016,5.222500272005222,0.9,10.136235294117647,2.7294117647058824,5.757448120227499
82,남구,용호1동,4.2675,45.863,31.9118,20.865,14.4016,9.156581132204666,4.3,10.136235294117647,2.7294117647058824,5.757448120227499
83,남구,용호2동,18.0407,17.924,12.4716,20.865,14.4016,11.008873801441247,2.6,10.136235294117647,2.7294117647058824,5.757448120227499
84,남구,용호3동,14.6435,12.853,8.9432,20.865,14.4016,5.9246938716985476,3.1,10.136235294117647,2.7294117647058824,5.757448120227499
85,남구,용호4동,8.1784,8.977,6.2462,20.865,14.4016,2.314868733181726,1.9,10.136235294117647,2.7294117647058824,5.757448120227499
86,남구,용당동,9.9975,8.207,5.7104,20.865,14.4016,7.944303855798289,2.3,10.136235294117647,2.7294117647058824,5.757448120227499
87,남구,감만1동,8.4519,14.694,10.2242,20.865,14.4016,4.763720238662575,2.2,10.136235294117647,2.7294117647058824,5.757448120227499
88,남구,감만2동,9.7561,7.332,5.1016,20.865,14.4016,7.060331651519385,0.8,10.136235294117647,2.7294117647058824,5.757448120227499
89,남구,우암동,7.8963,13.863,9.646,20.865,14.4016,6.802319273840665,1.4,10.136235294117647,2.7294117647058824,5.757448120227499
90,남구,문현1동,10.7737,14.894,10.3634,20.865,14.4016,4.671920458718189,1.8,10.136235294117647,2.7294117647058824,5.757448120227499
