,행정동명,매출액 대비 영업이익
115,덕천3동,8.004571138340424
116,만덕1동,5.6521925868659535
117,만덕2동,6.722701871393115
118,만덕3동,8.826950332758196
120,우1동,5.719223455026227
121,우2동,6.44490922768094
122,중1동,4.926412856450778
123,중2동,6.605535178392798
124,좌1동,5.443569329284313
125,좌2동,13.1065072753827
126,좌3동,14.36178080165656
127,좌4동,11.261789951496812
128,송정동,4.394132500256987
129,반여1동,4.521830490035729
130,반여2동,8.048801054826445
131,반여3동,8.069254555444056
132,반여4동,5.11872826626925
133,반송1동,11.057002210343704
134,반송2동,3.612346120501189
135,재송1동,5.137969306134946
136,재송2동,6.69334651381559
138,괴정1동,8.347877262764834
139,괴정2동,7.93099843178254
140,괴정3동,9.88553590010406
141,괴정4동,5.946004928482446
142,당리동,9.071799282876997
143,하단1동,7.2679435477983585
144,하단2동,6.815766111856432
145,신평1동,2.580871171658016
146,신평2동,5.120539143218177
147,장림1동,8.363356270912506
148,장림2동,4.4601156784510225
149,다대1동,4.656369406324354
150,다대2동,6.233750154760431
151,구평동,4.484915907826728
152,감천1동,3.0026187123213974
153,감천2동,12.657545325874503
155,서1동,13.546310054482417
156,서2동,9.396539308273152
158,서3동,6.078829744006502
159,부곡1동,4.72210238711533
160,부곡2동,4.749403791227954
161,부곡3동,10.391692954784437
162,부곡4동,6.351097975657037
163,장전1동,7.501436099802692
164,장전2동,5.829552082406556
165,장전3동,5.961824942168178
166,선두구동,6.664201867085683
167,청룡노포동,5.5270983106265
168,남산동,3.430520274899661
169,구서1동,4.70018351050639
170,구서2동,7.533831549181984
171,금성동,11.886771452951288
173,대저1동,4.7138081738893
174,대저2동,4.721171879292431
175,강동동,4.831832589974473
177,가락동,4.358203067212387
178,녹산동,5.307304591994829
179,가덕도동,0.18905021173623715
181,거제1동,4.668542385684687
182,거제2동,5.3685787302245505
183,거제3동,4.425370349337184
184,거제4동,7.868104982206406
185,연산1동,5.885893601012975
186,연산2동,9.991355839512634
187,연산3동,10.437950423695257
188,연산4동,3.30013378920767
189,연산5동,7.789433733249848
190,연산6동,10.058030565167243
191,연산8동,6.8584876337640415
192,연산9동,6.794549230847166
194,남천1동,4.4953306506719315
195,남천2동,9.313543599257885
196,수영동,7.301972138595709
197,망미1동,8.728546335682392
198,망미2동,5.533518391868152
199,광안1동,7.041215488406372
200,광안2동,4.756869423756386
201,광안3동,4.918327952734475
202,광안4동,2.677477305985509
203,민락동,6.966868098497586
205,삼락동,5.170204009641955
206,모라1동,3.516878260671867
207,모라3동,10.571525769688723
208,덕포1동,4.7445820433436525
209,덕포2동,9.169137180918646
210,괘법동,5.978281566560543
211,감전동,3.9966713064375887
212,주례1동,5.363789022989071
213,주례2동,3.784638608345613
214,주례3동,4.319602377854805
215,학장동,3.9554139577451415
216,엄궁동,4.6067857721442325
218,기장읍,6.401376077808085
219,장안읍,5.541050644856873
221,일광면,4.782561544301052
222,철마면,3.7049619506134492
