,구군,읍면동,년월,총 유동인구,총 인구,예측 유동인구,예측 구매력,구의 동별 평균 인구,구의 동별 평균 구매력,영업이익/매출액(%),편의점 수,대형마트 수,슈퍼마켓 수,경쟁업체 수,총 인구_정규화,예측 유동인구_정규화,예측 구매력_정규화,영업이익/매출액(%)_정규화,경쟁업체 수_정규화,구의 동별 평균 인구_정규화,구의 동별 평균 구매력_정규화,등급 점수,등급,경도,위도
2162,연제구,연산1동,2020-04,168843,16954,99753,47016000.0,17449,48391000,5.885893601012975,11,2,21,34,0.0931880534318462,-0.423172995721477,-0.19286170468447186,-0.25587076839118295,0.0028499989524276106,0.26586210715187825,-0.2670064006714793,-0.6818879608242544,고려,129.09011588529413,35.1892654835294
2163,연제구,연산2동,2020-04,91152,16294,73361,45186000.0,17449,48391000,9.991355839512632,15,0,22,37,0.02457200547789168,-0.9303712968615823,-0.23553285205127295,1.2552164578738605,0.09737496420794503,0.26586210715187825,-0.2670064006714793,0.06313249946563015,양호,129.08056535135134,35.177140898108114
2164,연제구,연산3동,2020-04,101862,7837,131266,21733000.0,17449,48391000,10.437950423695256,3,0,11,14,-0.8546490817139165,0.18244007126200806,-0.7823997477854727,1.419593410400437,-0.6273164360843552,0.26586210715187825,-0.2670064006714793,-0.4281376706234974,고려,129.09421372857142,35.172622249999996
2165,연제구,연산4동,2020-04,175053,17244,97419,47821000.0,17449,48391000,3.30013378920767,14,1,30,45,0.12333752904797773,-0.46802752871863545,-0.17409106335645283,-1.2076049203137265,0.34944153822265817,0.26586210715187825,-0.2670064006714793,-1.8752019231918777,나쁨,129.0843278977778,35.185936643333335
2166,연제구,연산5동,2020-04,73342,16369,72699,45394000.0,17449,48391000,7.789433733249848,35,1,38,74,0.03236928365447742,-0.9430935337271003,-0.23068279814291523,0.444760490991,1.2631828690259932,0.26586210715187825,-0.2670064006714793,-1.6718668519476318,나쁨,129.07876726216213,35.18461408162161
2167,연제구,연산6동,2020-04,175210,17655,85302,48960000.0,17449,48391000,10.058030565167245,6,1,23,30,0.1660666134556676,-0.7008905862707215,-0.1475323546948209,1.2797572575203897,-0.12318328805492895,0.26586210715187825,-0.2670064006714793,0.8714916021723489,양호,129.09053598666668,35.17537642666666
2168,연제구,연산8동,2020-04,114956,14948,101779,41453000.0,17449,48391000,6.8584876337640415,9,1,32,42,-0.1153631468645671,-0.38423756990646285,-0.3225773291661737,0.10210948665771874,0.25491657296714076,0.26586210715187825,-0.2670064006714793,-1.0436195739800356,고려,129.09721553571424,35.18800063857144
2169,연제구,연산9동,2020-04,95626,37056,8566,102763000.0,17449,48391000,6.794549230847165,23,2,17,42,2.1830665321748675,-2.175593861364959,1.1070226954559976,0.07857583848299149,0.25491657296714076,0.26586210715187825,-0.2670064006714793,3.2801039431287626,좋음,129.10622908809518,35.184718713571435
2170,연제구,거제1동,2020-05,76411,30567,82791,84768000.0,17449,48391000,4.668542385684686,14,1,24,39,1.5084460243366689,-0.7491466841095668,0.6874230796824539,-0.7039381879646383,0.1603916077116233,0.26586210715187825,-0.2670064006714793,2.197900689949221,좋음,129.07608032307695,35.19346989333333
2171,연제구,거제2동,2020-05,178920,12743,114801,35339000.0,17449,48391000,5.368578730224551,5,3,10,18,-0.3446031252561879,-0.13398233053671252,-0.46514093299165005,-0.4462775600734305,-0.5012831490769987,0.26586210715187825,-0.2670064006714793,-1.3490126101667075,고려,129.06716253333335,35.188947965555556
2172,연제구,거제3동,2020-05,64326,10635,217192,29493000.0,17449,48391000,4.425370349337184,3,0,5,8,-0.5637586238727578,1.8337556677974993,-0.6014554288967424,-0.7934419116778189,-0.8163663665953901,0.26586210715187825,-0.2670064006714793,-0.061692581199125573,고려,129.0732697875,35.1839176475
2173,연제구,거제4동,2020-05,211300,11093,150062,30763000.0,17449,48391000,7.868104982206407,3,0,12,15,-0.5161432451410742,0.5436593524165025,-0.5718421189755198,0.4737168209890606,-0.5958081143325161,0.26586210715187825,-0.2670064006714793,-0.13391045011680003,고려,129.0674147,35.180597450666674
2174,연제구,연산1동,2020-05,68350,16954,99753,47016000.0,17449,48391000,5.885893601012975,11,2,21,34,0.0931880534318462,-0.423172995721477,-0.19286170468447186,-0.25587076839118295,0.0028499989524276106,0.26586210715187825,-0.2670064006714793,-0.6818879608242544,고려,129.09011588529413,35.1892654835294
2175,연제구,연산2동,2020-05,93425,16294,73361,45186000.0,17449,48391000,9.991355839512632,15,0,22,37,0.02457200547789168,-0.9303712968615823,-0.23553285205127295,1.2552164578738605,0.09737496420794503,0.26586210715187825,-0.2670064006714793,0.06313249946563015,양호,129.08056535135134,35.177140898108114
2176,연제구,연산3동,2020-05,118886,7837,131266,21733000.0,17449,48391000,10.437950423695256,3,0,11,14,-0.8546490817139165,0.18244007126200806,-0.7823997477854727,1.419593410400437,-0.6273164360843552,0.26586210715187825,-0.2670064006714793,-0.4281376706234974,고려,129.09421372857142,35.172622249999996
2177,연제구,연산4동,2020-05,236016,17244,97419,47821000.0,17449,48391000,3.30013378920767,14,1,30,45,0.12333752904797773,-0.46802752871863545,-0.17409106335645283,-1.2076049203137265,0.34944153822265817,0.26586210715187825,-0.2670064006714793,-1.8752019231918777,나쁨,129.0843278977778,35.185936643333335
2178,연제구,연산5동,2020-05,172925,16369,72699,45394000.0,17449,48391000,7.789433733249848,35,1,38,74,0.03236928365447742,-0.9430935337271003,-0.23068279814291523,0.444760490991,1.2631828690259932,0.26586210715187825,-0.2670064006714793,-1.6718668519476318,나쁨,129.07876726216213,35.18461408162161
2179,연제구,연산6동,2020-05,104115,17655,85302,48960000.0,17449,48391000,10.058030565167245,6,1,23,30,0.1660666134556676,-0.7008905862707215,-0.1475323546948209,1.2797572575203897,-0.12318328805492895,0.26586210715187825,-0.2670064006714793,0.8714916021723489,양호,129.09053598666668,35.17537642666666
2180,연제구,연산8동,2020-05,187914,14948,101779,41453000.0,17449,48391000,6.8584876337640415,9,1,32,42,-0.1153631468645671,-0.38423756990646285,-0.3225773291661737,0.10210948665771874,0.25491657296714076,0.26586210715187825,-0.2670064006714793,-1.0436195739800356,고려,129.09721553571424,35.18800063857144
2181,연제구,연산9동,2020-05,117430,37056,8566,102763000.0,17449,48391000,6.794549230847165,23,2,17,42,2.1830665321748675,-2.175593861364959,1.1070226954559976,0.07857583848299149,0.25491657296714076,0.26586210715187825,-0.2670064006714793,3.2801039431287626,좋음,129.10622908809518,35.184718713571435
2182,연제구,거제1동,2020-06,225265,30567,82791,84768000.0,17449,48391000,4.668542385684686,14,1,24,39,1.5084460243366689,-0.7491466841095668,0.6874230796824539,-0.7039381879646383,0.1603916077116233,0.26586210715187825,-0.2670064006714793,2.197900689949221,좋음,129.07608032307695,35.19346989333333
2183,연제구,거제2동,2020-06,198830,12743,114801,35339000.0,17449,48391000,5.368578730224551,5,3,10,18,-0.3446031252561879,-0.13398233053671252,-0.46514093299165005,-0.4462775600734305,-0.5012831490769987,0.26586210715187825,-0.2670064006714793,-1.3490126101667075,고려,129.06716253333335,35.188947965555556
2184,연제구,거제3동,2020-06,430375,10635,217192,29493000.0,17449,48391000,4.425370349337184,3,0,5,8,-0.5637586238727578,1.8337556677974993,-0.6014554288967424,-0.7934419116778189,-0.8163663665953901,0.26586210715187825,-0.2670064006714793,-0.061692581199125573,고려,129.0732697875,35.1839176475
2185,연제구,거제4동,2020-06,109883,11093,150062,30763000.0,17449,48391000,7.868104982206407,3,0,12,15,-0.5161432451410742,0.5436593524165025,-0.5718421189755198,0.4737168209890606,-0.5958081143325161,0.26586210715187825,-0.2670064006714793,-0.13391045011680003,고려,129.0674147,35.180597450666674
2186,연제구,연산1동,2020-06,105055,16954,99753,47016000.0,17449,48391000,5.885893601012975,11,2,21,34,0.0931880534318462,-0.423172995721477,-0.19286170468447186,-0.25587076839118295,0.0028499989524276106,0.26586210715187825,-0.2670064006714793,-0.6818879608242544,고려,129.09011588529413,35.1892654835294
2187,연제구,연산2동,2020-06,73441,16294,73361,45186000.0,17449,48391000,9.991355839512632,15,0,22,37,0.02457200547789168,-0.9303712968615823,-0.23553285205127295,1.2552164578738605,0.09737496420794503,0.26586210715187825,-0.2670064006714793,0.06313249946563015,양호,129.08056535135134,35.177140898108114
2188,연제구,연산3동,2020-06,116216,7837,131266,21733000.0,17449,48391000,10.437950423695256,3,0,11,14,-0.8546490817139165,0.18244007126200806,-0.7823997477854727,1.419593410400437,-0.6273164360843552,0.26586210715187825,-0.2670064006714793,-0.4281376706234974,고려,129.09421372857142,35.172622249999996
2189,연제구,연산4동,2020-06,24292,17244,97419,47821000.0,17449,48391000,3.30013378920767,14,1,30,45,0.12333752904797773,-0.46802752871863545,-0.17409106335645283,-1.2076049203137265,0.34944153822265817,0.26586210715187825,-0.2670064006714793,-1.8752019231918777,나쁨,129.0843278977778,35.185936643333335
2190,연제구,연산5동,2020-06,44406,16369,72699,45394000.0,17449,48391000,7.789433733249848,35,1,38,74,0.03236928365447742,-0.9430935337271003,-0.23068279814291523,0.444760490991,1.2631828690259932,0.26586210715187825,-0.2670064006714793,-1.6718668519476318,나쁨,129.07876726216213,35.18461408162161
2191,연제구,연산6동,2020-06,61144,17655,85302,48960000.0,17449,48391000,10.058030565167245,6,1,23,30,0.1660666134556676,-0.7008905862707215,-0.1475323546948209,1.2797572575203897,-0.12318328805492895,0.26586210715187825,-0.2670064006714793,0.8714916021723489,양호,129.09053598666668,35.17537642666666
2192,연제구,연산8동,2020-06,77384,14948,101779,41453000.0,17449,48391000,6.8584876337640415,9,1,32,42,-0.1153631468645671,-0.38423756990646285,-0.3225773291661737,0.10210948665771874,0.25491657296714076,0.26586210715187825,-0.2670064006714793,-1.0436195739800356,고려,129.09721553571424,35.18800063857144
2193,연제구,연산9동,2020-06,49940,37056,8566,102763000.0,17449,48391000,6.794549230847165,23,2,17,42,2.1830665321748675,-2.175593861364959,1.1070226954559976,0.07857583848299149,0.25491657296714076,0.26586210715187825,-0.2670064006714793,3.2801039431287626,좋음,129.10622908809518,35.184718713571435
2194,연제구,거제1동,2020-07,80890,30567,82791,84768000.0,17449,48391000,4.668542385684686,14,1,24,39,1.5084460243366689,-0.7491466841095668,0.6874230796824539,-0.7039381879646383,0.1603916077116233,0.26586210715187825,-0.2670064006714793,2.197900689949221,좋음,129.07608032307695,35.19346989333333
2195,연제구,거제2동,2020-07,36047,12743,114801,35339000.0,17449,48391000,5.368578730224551,5,3,10,18,-0.3446031252561879,-0.13398233053671252,-0.46514093299165005,-0.4462775600734305,-0.5012831490769987,0.26586210715187825,-0.2670064006714793,-1.3490126101667075,고려,129.06716253333335,35.188947965555556
2196,연제구,거제3동,2020-07,41645,10635,217192,29493000.0,17449,48391000,4.425370349337184,3,0,5,8,-0.5637586238727578,1.8337556677974993,-0.6014554288967424,-0.7934419116778189,-0.8163663665953901,0.26586210715187825,-0.2670064006714793,-0.061692581199125573,고려,129.0732697875,35.1839176475
2197,연제구,거제4동,2020-07,42299,11093,150062,30763000.0,17449,48391000,7.868104982206407,3,0,12,15,-0.5161432451410742,0.5436593524165025,-0.5718421189755198,0.4737168209890606,-0.5958081143325161,0.26586210715187825,-0.2670064006714793,-0.13391045011680003,고려,129.0674147,35.180597450666674
