요일,구군,년,월,읍면동,주중/주말,지역코드,평균 유동인구,주중/주말 유동인구
일,동구,2020,03,초량3동,주말,26170,"13,133명","13,133"
일,동구,2020,03,초량6동,주말,26170,"6,306명","6,306"
일,동구,2020,03,수정1동,주말,26170,"4,860명","4,860"
일,동구,2020,03,수정2동,주말,26170,"8,103명","8,103"
일,동구,2020,03,수정4동,주말,26170,"3,362명","3,362"
일,동구,2020,03,수정5동,주말,26170,"5,158명","5,158"
일,동구,2020,03,범일1동,주말,26170,"7,098명","7,098"
일,동구,2020,03,범일2동,주말,26170,"15,324명","15,324"
일,동구,2020,03,범일5동,주말,26170,"3,524명","3,524"
일,동구,2020,04,초량1동,주말,26170,"5,244명","5,244"
일,동구,2020,04,초량2동,주말,26170,"8,309명","8,309"
일,동구,2020,04,초량3동,주말,26170,"13,952명","13,952"
일,동구,2020,04,초량6동,주말,26170,"6,259명","6,259"
일,동구,2020,04,수정1동,주말,26170,"4,602명","4,602"
일,동구,2020,04,수정2동,주말,26170,"8,398명","8,398"
일,동구,2020,04,수정4동,주말,26170,"3,288명","3,288"
일,동구,2020,04,수정5동,주말,26170,"5,248명","5,248"
일,동구,2020,04,범일1동,주말,26170,"6,448명","6,448"
일,동구,2020,04,범일2동,주말,26170,"16,137명","16,137"
일,동구,2020,04,범일5동,주말,26170,"3,462명","3,462"
일,동구,2020,05,초량1동,주말,26170,"5,344명","5,344"
일,동구,2020,05,초량2동,주말,26170,"8,785명","8,785"
일,동구,2020,05,초량3동,주말,26170,"14,380명","14,380"
일,동구,2020,05,초량6동,주말,26170,"5,881명","5,881"
일,동구,2020,05,수정1동,주말,26170,"4,258명","4,258"
일,동구,2020,05,수정2동,주말,26170,"9,154명","9,154"
일,동구,2020,05,수정4동,주말,26170,"3,222명","3,222"
일,동구,2020,05,수정5동,주말,26170,"5,694명","5,694"
일,동구,2020,05,범일1동,주말,26170,"6,114명","6,114"
일,동구,2020,05,범일2동,주말,26170,"15,895명","15,895"
일,동구,2020,05,범일5동,주말,26170,"3,388명","3,388"
일,동구,2020,06,초량1동,주말,26170,"5,452명","5,452"
일,동구,2020,06,초량2동,주말,26170,"8,865명","8,865"
일,동구,2020,06,초량3동,주말,26170,"14,435명","14,435"
일,동구,2020,06,초량6동,주말,26170,"5,718명","5,718"
일,동구,2020,06,수정1동,주말,26170,"4,146명","4,146"
일,동구,2020,06,수정2동,주말,26170,"9,479명","9,479"
일,동구,2020,06,수정4동,주말,26170,"3,225명","3,225"
일,동구,2020,06,수정5동,주말,26170,"5,384명","5,384"
일,동구,2020,06,범일1동,주말,26170,"6,485명","6,485"
일,동구,2020,06,범일2동,주말,26170,"16,205명","16,205"
일,동구,2020,06,범일5동,주말,26170,"3,151명","3,151"
일,동구,2020,07,초량1동,주말,26170,"5,769명","5,769"
일,동구,2020,07,초량2동,주말,26170,"9,412명","9,412"
일,동구,2020,07,초량3동,주말,26170,"15,679명","15,679"
일,동구,2020,07,초량6동,주말,26170,"5,264명","5,264"
일,동구,2020,07,수정1동,주말,26170,"3,790명","3,790"
일,동구,2020,07,수정2동,주말,26170,"10,748명","10,748"
일,동구,2020,07,수정4동,주말,26170,"2,855명","2,855"
일,동구,2020,07,수정5동,주말,26170,"5,306명","5,306"
일,동구,2020,07,범일1동,주말,26170,"6,237명","6,237"
일,동구,2020,07,범일2동,주말,26170,"16,672명","16,672"
일,동구,2020,07,범일5동,주말,26170,"2,905명","2,905"
일,영도구,2020,01,남항동,주말,26200,"13,171명","13,171"
일,영도구,2020,01,영선제1동,주말,26200,"5,867명","5,867"
일,영도구,2020,01,영선제2동,주말,26200,"11,480명","11,480"
일,영도구,2020,01,신선동,주말,26200,"6,767명","6,767"
일,영도구,2020,01,봉래제1동,주말,26200,"8,495명","8,495"
일,영도구,2020,01,봉래제2동,주말,26200,"6,831명","6,831"
일,영도구,2020,01,청학제1동,주말,26200,"6,893명","6,893"
일,영도구,2020,01,청학제2동,주말,26200,"19,065명","19,065"
일,영도구,2020,01,동삼제1동,주말,26200,"29,604명","29,604"
일,영도구,2020,01,동삼제2동,주말,26200,"5,578명","5,578"
일,영도구,2020,01,동삼제3동,주말,26200,"11,475명","11,475"
일,영도구,2020,02,남항동,주말,26200,"12,699명","12,699"
일,영도구,2020,02,영선제1동,주말,26200,"5,664명","5,664"
일,영도구,2020,02,영선제2동,주말,26200,"10,973명","10,973"
일,영도구,2020,02,신선동,주말,26200,"6,524명","6,524"
일,영도구,2020,02,봉래제1동,주말,26200,"7,554명","7,554"
일,영도구,2020,02,봉래제2동,주말,26200,"6,961명","6,961"
일,영도구,2020,02,청학제1동,주말,26200,"6,772명","6,772"
일,영도구,2020,02,청학제2동,주말,26200,"19,207명","19,207"
일,영도구,2020,02,동삼제1동,주말,26200,"31,434명","31,434"
일,영도구,2020,02,동삼제2동,주말,26200,"5,939명","5,939"
일,영도구,2020,02,동삼제3동,주말,26200,"11,912명","11,912"
일,영도구,2020,03,남항동,주말,26200,"12,517명","12,517"
일,영도구,2020,03,영선제1동,주말,26200,"5,704명","5,704"
일,영도구,2020,03,영선제2동,주말,26200,"11,147명","11,147"
일,영도구,2020,03,신선동,주말,26200,"7,347명","7,347"
일,영도구,2020,03,봉래제1동,주말,26200,"7,208명","7,208"
일,영도구,2020,03,봉래제2동,주말,26200,"7,220명","7,220"
일,영도구,2020,03,청학제1동,주말,26200,"6,869명","6,869"
일,영도구,2020,03,청학제2동,주말,26200,"19,858명","19,858"
일,영도구,2020,03,동삼제1동,주말,26200,"30,940명","30,940"
일,영도구,2020,03,동삼제2동,주말,26200,"6,393명","6,393"
일,영도구,2020,03,동삼제3동,주말,26200,"12,176명","12,176"
일,영도구,2020,04,남항동,주말,26200,"11,638명","11,638"
일,영도구,2020,04,영선제1동,주말,26200,"5,550명","5,550"
일,영도구,2020,04,영선제2동,주말,26200,"10,551명","10,551"
일,영도구,2020,04,신선동,주말,26200,"7,180명","7,180"
일,영도구,2020,04,봉래제1동,주말,26200,"7,186명","7,186"
일,영도구,2020,04,봉래제2동,주말,26200,"7,492명","7,492"
일,영도구,2020,04,청학제1동,주말,26200,"7,039명","7,039"
일,영도구,2020,04,청학제2동,주말,26200,"20,598명","20,598"
일,영도구,2020,04,동삼제1동,주말,26200,"32,027명","32,027"
일,영도구,2020,04,동삼제2동,주말,26200,"6,474명","6,474"
일,영도구,2020,04,동삼제3동,주말,26200,"12,638명","12,638"
일,영도구,2020,05,남항동,주말,26200,"12,225명","12,225"
일,영도구,2020,05,영선제1동,주말,26200,"6,046명","6,046"
일,영도구,2020,05,영선제2동,주말,26200,"11,042명","11,042"
일,영도구,2020,05,신선동,주말,26200,"7,334명","7,334"
일,영도구,2020,05,봉래제1동,주말,26200,"7,273명","7,273"
일,영도구,2020,05,봉래제2동,주말,26200,"7,190명","7,190"
일,영도구,2020,05,청학제1동,주말,26200,"6,765명","6,765"
일,영도구,2020,05,청학제2동,주말,26200,"19,467명","19,467"
일,영도구,2020,05,동삼제1동,주말,26200,"31,357명","31,357"
일,영도구,2020,05,동삼제2동,주말,26200,"7,044명","7,044"
일,영도구,2020,05,동삼제3동,주말,26200,"12,029명","12,029"
일,영도구,2020,06,남항동,주말,26200,"12,683명","12,683"
일,영도구,2020,06,영선제1동,주말,26200,"5,995명","5,995"
일,영도구,2020,06,영선제2동,주말,26200,"11,018명","11,018"
일,영도구,2020,06,신선동,주말,26200,"7,448명","7,448"
일,영도구,2020,06,봉래제1동,주말,26200,"7,538명","7,538"
일,영도구,2020,06,봉래제2동,주말,26200,"7,684명","7,684"
일,영도구,2020,06,청학제1동,주말,26200,"6,941명","6,941"
일,영도구,2020,06,청학제2동,주말,26200,"18,308명","18,308"
일,영도구,2020,06,동삼제1동,주말,26200,"31,382명","31,382"
일,영도구,2020,06,동삼제2동,주말,26200,"6,776명","6,776"
일,영도구,2020,06,동삼제3동,주말,26200,"11,489명","11,489"
일,영도구,2020,07,남항동,주말,26200,"14,205명","14,205"
일,영도구,2020,07,영선제1동,주말,26200,"6,411명","6,411"
일,영도구,2020,07,영선제2동,주말,26200,"10,971명","10,971"
일,영도구,2020,07,신선동,주말,26200,"7,001명","7,001"
일,영도구,2020,07,봉래제1동,주말,26200,"7,332명","7,332"
일,영도구,2020,07,봉래제2동,주말,26200,"7,475명","7,475"
일,영도구,2020,07,청학제1동,주말,26200,"6,807명","6,807"
일,영도구,2020,07,청학제2동,주말,26200,"17,356명","17,356"
일,영도구,2020,07,동삼제1동,주말,26200,"29,579명","29,579"
일,영도구,2020,07,동삼제2동,주말,26200,"7,567명","7,567"
일,영도구,2020,07,동삼제3동,주말,26200,"10,845명","10,845"
일,부산진구,2020,01,부전제1동,주말,26230,"25,687명","25,687"
일,부산진구,2020,01,부전제2동,주말,26230,"44,951명","44,951"
일,부산진구,2020,01,연지동,주말,26230,"20,220명","20,220"
일,부산진구,2020,01,초읍동,주말,26230,"23,578명","23,578"
일,부산진구,2020,01,양정제1동,주말,26230,"26,949명","26,949"
일,부산진구,2020,01,양정제2동,주말,26230,"13,081명","13,081"
일,부산진구,2020,01,전포제1동,주말,26230,"24,639명","24,639"
일,부산진구,2020,01,전포제2동,주말,26230,"17,467명","17,467"
일,부산진구,2020,01,부암제1동,주말,26230,"16,334명","16,334"
일,부산진구,2020,01,부암제3동,주말,26230,"18,810명","18,810"
일,부산진구,2020,01,당감제1동,주말,26230,"25,426명","25,426"
일,부산진구,2020,01,당감제2동,주말,26230,"9,050명","9,050"
일,부산진구,2020,01,당감제4동,주말,26230,"17,362명","17,362"
일,부산진구,2020,01,가야제1동,주말,26230,"22,765명","22,765"
일,부산진구,2020,01,가야제2동,주말,26230,"16,910명","16,910"
일,부산진구,2020,01,개금제1동,주말,26230,"16,827명","16,827"
일,부산진구,2020,01,개금제2동,주말,26230,"11,252명","11,252"
일,부산진구,2020,01,개금제3동,주말,26230,"27,984명","27,984"
일,부산진구,2020,01,범천제1동,주말,26230,"14,780명","14,780"
일,부산진구,2020,01,범천제2동,주말,26230,"13,773명","13,773"
일,부산진구,2020,02,부전제1동,주말,26230,"23,854명","23,854"
일,부산진구,2020,02,부전제2동,주말,26230,"40,267명","40,267"
일,부산진구,2020,02,연지동,주말,26230,"20,448명","20,448"
일,부산진구,2020,02,초읍동,주말,26230,"23,437명","23,437"
일,부산진구,2020,02,양정제1동,주말,26230,"27,850명","27,850"
일,부산진구,2020,02,양정제2동,주말,26230,"13,534명","13,534"
일,부산진구,2020,02,전포제1동,주말,26230,"24,236명","24,236"
일,부산진구,2020,02,전포제2동,주말,26230,"17,020명","17,020"
일,부산진구,2020,02,부암제1동,주말,26230,"17,126명","17,126"
일,부산진구,2020,02,부암제3동,주말,26230,"19,145명","19,145"
일,부산진구,2020,02,당감제1동,주말,26230,"25,721명","25,721"
일,부산진구,2020,02,당감제2동,주말,26230,"9,078명","9,078"
일,부산진구,2020,02,당감제4동,주말,26230,"17,446명","17,446"
일,부산진구,2020,02,가야제1동,주말,26230,"23,176명","23,176"
일,부산진구,2020,02,가야제2동,주말,26230,"17,090명","17,090"
일,부산진구,2020,02,개금제1동,주말,26230,"16,930명","16,930"
일,부산진구,2020,02,개금제2동,주말,26230,"11,178명","11,178"
일,부산진구,2020,02,개금제3동,주말,26230,"28,040명","28,040"
일,부산진구,2020,02,범천제1동,주말,26230,"14,703명","14,703"
일,부산진구,2020,02,범천제2동,주말,26230,"13,656명","13,656"
일,부산진구,2020,03,부전제1동,주말,26230,"21,505명","21,505"
일,부산진구,2020,03,부전제2동,주말,26230,"27,838명","27,838"
일,부산진구,2020,03,연지동,주말,26230,"21,123명","21,123"
일,부산진구,2020,03,초읍동,주말,26230,"23,318명","23,318"
일,부산진구,2020,03,양정제1동,주말,26230,"27,560명","27,560"
일,부산진구,2020,03,양정제2동,주말,26230,"13,265명","13,265"
일,부산진구,2020,03,전포제1동,주말,26230,"22,204명","22,204"
일,부산진구,2020,03,전포제2동,주말,26230,"18,089명","18,089"
일,부산진구,2020,03,부암제1동,주말,26230,"16,584명","16,584"
일,부산진구,2020,03,부암제3동,주말,26230,"19,293명","19,293"
일,부산진구,2020,03,당감제1동,주말,26230,"26,228명","26,228"
일,부산진구,2020,03,당감제2동,주말,26230,"9,126명","9,126"
일,부산진구,2020,03,당감제4동,주말,26230,"17,512명","17,512"
일,부산진구,2020,03,가야제1동,주말,26230,"22,827명","22,827"
일,부산진구,2020,03,가야제2동,주말,26230,"17,707명","17,707"
일,부산진구,2020,03,개금제1동,주말,26230,"17,807명","17,807"
일,부산진구,2020,03,개금제2동,주말,26230,"11,485명","11,485"
일,부산진구,2020,03,개금제3동,주말,26230,"29,503명","29,503"
일,부산진구,2020,03,범천제1동,주말,26230,"13,346명","13,346"
일,부산진구,2020,03,범천제2동,주말,26230,"13,543명","13,543"
일,부산진구,2020,04,부전제1동,주말,26230,"22,889명","22,889"
일,부산진구,2020,04,부전제2동,주말,26230,"32,112명","32,112"
일,부산진구,2020,04,연지동,주말,26230,"21,033명","21,033"
일,부산진구,2020,04,초읍동,주말,26230,"23,976명","23,976"
일,부산진구,2020,04,양정제1동,주말,26230,"28,914명","28,914"
일,부산진구,2020,04,양정제2동,주말,26230,"13,982명","13,982"
일,부산진구,2020,04,전포제1동,주말,26230,"23,184명","23,184"
일,부산진구,2020,04,전포제2동,주말,26230,"17,527명","17,527"
일,부산진구,2020,04,부암제1동,주말,26230,"19,451명","19,451"
일,부산진구,2020,04,부암제3동,주말,26230,"18,632명","18,632"
일,부산진구,2020,04,당감제1동,주말,26230,"25,679명","25,679"
일,부산진구,2020,04,당감제2동,주말,26230,"9,590명","9,590"
일,부산진구,2020,04,당감제4동,주말,26230,"15,996명","15,996"
일,부산진구,2020,04,가야제1동,주말,26230,"23,437명","23,437"
일,부산진구,2020,04,가야제2동,주말,26230,"18,204명","18,204"
일,부산진구,2020,04,개금제1동,주말,26230,"19,221명","19,221"
일,부산진구,2020,04,개금제2동,주말,26230,"11,638명","11,638"
일,부산진구,2020,04,개금제3동,주말,26230,"29,186명","29,186"
일,부산진구,2020,04,범천제1동,주말,26230,"13,888명","13,888"
일,부산진구,2020,04,범천제2동,주말,26230,"12,806명","12,806"
일,부산진구,2020,05,부전제1동,주말,26230,"24,342명","24,342"
일,부산진구,2020,05,부전제2동,주말,26230,"34,523명","34,523"
일,부산진구,2020,05,연지동,주말,26230,"20,979명","20,979"
일,부산진구,2020,05,초읍동,주말,26230,"23,832명","23,832"
일,부산진구,2020,05,양정제1동,주말,26230,"28,249명","28,249"
